LotArea,YearBuilt,GarageArea,SalePrice
8450,2003,548,208500
9600,1976,460,181500
11250,2001,608,223500
9550,1915,642,140000
14260,2000,836,250000
14115,1993,480,143000
10084,2004,636,307000
10382,1973,484,200000
6120,1931,468,129900
7420,1939,205,118000
11200,1965,384,129500
11924,2005,736,345000
12968,1962,352,144000
10652,2006,840,279500
10920,1960,352,157000
6120,1929,576,132000
11241,1970,480,149000
10791,1967,516,90000
13695,2004,576,159000
7560,1958,294,139000
14215,2005,853,325300
7449,1930,280,139400
9742,2002,534,230000
4224,1976,572,129900
8246,1968,270,154000
14230,2007,890,256300
7200,1951,576,134800
11478,2007,772,306000
16321,1957,319,207500
6324,1927,240,68500
8500,1920,250,40000
8544,1966,271,149350
11049,2007,484,179900
10552,1959,447,165500
7313,2005,556,277500
13418,2004,691,309000
10859,1994,672,145000
8532,1954,498,153000
7922,1953,246,109000
6040,1955,0,82000
8658,1965,440,160000
16905,1959,308,170000
9180,1983,504,144000
9200,1975,308,130250
7945,1959,300,141000
7658,2005,576,319900
12822,2003,670,239686
11096,2006,826,249700
4456,1920,0,113000
7742,1966,386,127000
13869,1997,388,177000
6240,1934,528,114500
8472,1963,516,110000
50271,1981,894,385000
7134,1955,572,130000
10175,1964,576,180500
2645,1999,480,172500
11645,2004,565,196500
13682,2006,641,438780
7200,1972,352,124900
13072,2004,576,158000
7200,1920,288,101000
6442,2006,484,202500
10300,1921,480,140000
9375,1997,645,219500
9591,2004,852,317000
19900,1970,576,180000
10665,2003,558,226000
4608,1945,220,80000
15593,1953,667,225000
13651,1973,516,244000
7599,1982,360,129500
10141,1998,427,185000
10200,1954,490,144900
5790,1915,379,107400
1596,1973,297,91000
8475,1956,283,135750
8635,1948,240,127000
10778,1968,0,136500
10440,1910,440,110000
13000,1968,509,193500
4500,1998,405,153500
10206,2007,758,245000
8892,1960,461,126500
8530,1995,400,168500
16059,1991,462,260000
11911,2005,400,174000
3951,2009,528,164500
8470,1915,0,85000
8070,1994,0,123600
7200,1950,420,109900
8500,1961,480,98600
13360,1921,432,163500
7200,1910,506,133900
9337,1997,684,204750
9765,1993,420,185000
10264,1999,472,214000
10921,1965,432,94750
10625,1920,366,83000
9320,1959,0,128950
10603,1977,480,205000
9206,1985,476,178000
7018,1979,410,118964
10402,2009,740,198900
7758,1931,240,169500
9375,2003,648,250000
10800,1885,273,100000
6000,1948,250,115000
8500,1919,0,115000
11751,1977,546,190000
9525,1954,325,136900
7750,2000,400,180000
9965,2007,792,383970
21000,1953,450,217000
7259,1945,180,259500
3230,1999,440,176000
11616,1962,288,139000
8536,2006,430,155000
12376,1990,594,320000
8461,2005,390,163990
21453,1969,540,180000
6060,1939,264,100000
9464,1958,288,136000
7892,1993,530,153900
17043,1979,435,181000
6780,1935,0,84500
4928,1976,440,128000
4388,1930,0,87000
7590,1966,453,155000
8973,1958,750,150000
14200,1966,487,226000
12224,2000,390,244000
7388,1959,624,150750
6853,2001,471,220000
10335,1968,440,180000
10400,1970,530,174000
10355,1967,318,143000
11070,1988,766,171000
9066,1999,660,230000
15426,1997,470,231500
10500,1971,0,115000
11645,2005,660,260000
8520,1952,720,166000
10335,1999,577,204000
9100,1963,504,125000
2522,2004,380,130000
6120,1931,180,105000
9505,2001,434,222500
7500,2004,0,141000
6240,1936,240,115000
10356,1975,440,122000
13891,2007,866,372402
14803,1971,495,190000
13500,1960,564,235000
11340,1923,312,125000
9600,1924,0,79000
7200,1950,625,109500
12003,2009,680,269500
12552,2004,678,254900
19378,2005,576,320000
11120,1984,516,162500
13688,2003,726,412500
12182,2005,532,220000
5500,1956,0,103200
5400,1926,216,152000
10106,1940,0,127500
10708,1955,303,190000
10562,2007,789,325624
8244,2004,440,183500
16669,1981,511,228000
12358,1941,660,128500
31770,1960,528,215000
5306,1987,504,239000
10197,1961,504,163000
12416,1986,616,184000
12615,1950,576,243000
10029,1988,521,211000
13650,1958,451,172500
17423,2008,1166,501837
8520,1923,480,100000
2117,2000,440,177000
7588,1920,216,200100
9060,1957,252,120000
11426,2003,484,200000
7438,1908,576,127000
22950,1892,840,475000
9947,1990,497,173000
10410,1916,180,135000
7018,1979,528,153337
4923,2001,682,286000
10570,1932,440,315000
7472,1972,484,184000
9017,1999,666,192000
2522,2004,380,130000
7180,1972,352,127000
2280,1976,440,148500
9416,2007,786,311872
25419,1918,795,235000
5520,1912,0,104000
9591,2004,856,274900
8546,2003,440,140000
10125,1977,473,171500
7000,1924,398,112000
4438,2004,420,149000
3500,1947,240,110000
11851,1990,500,180500
13673,1962,349,143900
12493,1960,312,141000
14364,1988,454,277000
8250,1964,504,145000
5604,1925,0,98000
10420,2009,460,186000
8640,2009,644,252678
13568,1995,576,156000
10900,1977,299,161750
10011,1957,447,134450
8450,2004,484,210000
9906,1925,210,107000
15660,1939,431,311500
3010,2005,438,167240
8990,2006,675,204900
8068,2002,390,200000
11475,1975,434,179900
10500,1971,576,97000
13472,2003,968,386250
1680,1971,280,112000
9950,1995,721,290000
1869,1970,280,106000
8521,1967,336,125000
3182,2005,430,192500
8760,1959,312,148000
15138,1995,810,403000
1680,1972,288,94500
10650,1976,308,128200
7851,2002,440,216500
1680,1971,264,89500
8773,2004,494,185500
9453,1993,457,194500
12030,2007,818,318000
8741,1945,220,113000
9000,2008,750,262500
3880,1945,0,110500
5000,1900,352,79000
10762,1980,288,120000
8880,1994,463,205000
10400,1988,604,241500
9142,1910,440,137000
11310,1954,451,140000
11317,2003,500,180000
159000,1958,389,277000
5350,1940,0,76500
4750,2006,538,235000
8366,2004,520,173000
9350,1964,309,158000
8400,1957,294,145000
8738,1999,429,230000
8791,2003,673,207500
8814,2006,660,220000
12435,2001,564,231500
12702,1956,308,97000
19296,1962,884,176000
9588,2007,868,276000
8471,1977,492,151000
5500,1929,484,130000
5232,1925,504,73000
12090,1981,576,175500
11207,1997,413,185000
8400,1939,240,179500
6900,1940,924,120500
7917,1976,504,148000
10728,2006,1053,266000
39104,1954,439,241500
11764,1999,671,290000
9600,1958,338,139000
8314,1982,264,124500
7264,1925,672,205000
9196,2003,573,201000
19138,1951,400,141000
14450,2006,732,415298
10005,1977,505,192000
11287,1989,575,228500
7200,2006,572,185000
5063,2007,626,207500
9612,2008,898,244600
8012,1992,529,179200
4251,2006,528,164700
9786,1962,440,159000
8125,1971,0,88000
9819,1967,280,122000
8730,1915,384,153575
15611,2006,685,233230
5687,1912,0,135900
11409,1949,281,131000
16659,1977,539,235000
9600,1953,418,167000
7937,1984,588,142500
13710,1950,282,152000
7399,1997,576,239000
11700,1968,539,175000
14000,1950,300,158500
15750,1953,375,157000
16226,1998,683,267000
13704,2001,843,205000
9800,1972,552,149900
18386,1880,870,295000
10386,2004,888,305900
13474,1990,746,225000
7920,1920,0,89500
12342,1940,539,82500
12378,2003,708,360000
7685,1993,420,165600
8000,1948,240,132000
7800,1939,410,119900
215245,1965,513,375000
9600,1925,546,178000
7795,2004,432,188500
13005,1980,484,260000
9000,2006,1025,270000
9900,1993,656,260000
14115,1980,588,187500
16259,2006,840,342643
12099,2004,872,354000
10380,1986,576,301000
5820,1955,220,126175
11275,1967,564,242000
5000,1941,360,87000
10846,1993,473,324000
11600,1960,292,145250
11888,1916,441,214500
6402,1920,189,78000
10624,1964,352,119000
8176,1958,308,139000
10655,2003,880,284000
8198,2004,484,207000
9042,1998,472,192000
164660,1965,529,228950
14157,2005,676,377426
9135,2002,532,214000
14145,1984,440,202500
12400,1958,297,155000
14191,2002,431,202900
8400,1950,294,82000
8544,1949,400,87500
8849,2005,564,266000
2592,1976,336,85000
6435,1939,312,140200
12772,1960,301,151500
